# Zugzwang Project: SWT parser
# http://www.zugzwang.org/projects/swtparser
# @author Gustaf Mossakowski, <gustaf@koenige.org>, 2005, 2012, 2015
# @author Falco Nogatz, <fnogatz@gmail.com>, 2012, 2016
#
# Definition file for common tournament data
# Definitionsdatei für allgemeine Turnierdaten
#
#[start]	[end]	[type]	[field]
1		int	1
3		int	2
5		int	3
7	8	inb	4
9		int	5
B		int	6
AF		int	7
B0		boo	8
B2		int	9
B4		boo	10
B8	CA+	asc	11
F5	130	asc	12
131		int	13
133		boo	14
135		int	15
137		boo	16
13B	149+	asc	17
178	1B4	asc	18
238		int	19
23A		int	20
23C		sel:84	21
23D		sel:84	181
23E		boo	22
243		boo	23
246		sel	24
249		int	25
24A		int	26
24C		boo	27
24D		boo	28
24E		boo	29
251		boo	30
254		sel	31
255		int	32
258		int	33
25C		int	34
25E		boo	35
260		sel	184
261	262	inb	9999
263		sel:84	36
265		sel:84	37
266		sel:84	182
267		sel:84	38
268		sel:84	183
269		sel:84	39
26A		sel:84	40
26B		sel:84	41
26C		sel:84	42
26D		sel:84	43
26E		sel:84	180
26F		boo	44
272	273	inb	45
278		boo	46
27C		int	47
28B		bin	48
28C		boo	49
290		sel:84	50
291		boo	51
292		boo	179
29D		sel	52
2AE		boo	53
2D2		boo	54
2D3		int	55
309		bin	56
30A		bin	57
30B		bin	58
30C		bin	59
310		bin	60
311		sel	61
312		boo	62
313		boo	63
315		int	64
316	33D	asc	65
33F	366	asc	66
368	3A3	asc	67
3A5	3E0	asc	68
3E2	41D	asc	69
41F	432	asc	70
434	447	asc	71
449	45C	asc	72
45E	471	asc	73
473	487	asc	74
52C		int	75
52E		int	76
52F		int	77
530		sel	78
531		sel:78	79
534		int	80
538		sel	81
53A		sel	82
1576		int	169
1578		int	170
157A		int	171
157C		int	172
157E		int	173
1582		int	174
158A		int	175
158E		int	176
1592		int	177
1596		int	178
2CB4		boo	83
2CC1	2CC2	dat	89
2CC3	2CC4	tim	90
2CC5	2CC6	dat	91
2CC7	2CC8	tim	92
2CC9	2CCA	dat	93
2CCB	2CCC	tim	94
2CCD	2CCE	dat	95
2CCF	2CD0	tim	96
2CD1	2CD2	dat	97
2CD3	2CD4	tim	98
2CD5	2CD6	dat	99
2CD7	2CD8	tim	100
2CD9	2CDA	dat	101
2CDB	2CDC	tim	102
2CDD	2CDE	dat	103
2CDF	2CE0	tim	104
2CE1	2CE2	dat	105
2CE3	2CE4	tim	106
2CE5	2CE6	dat	107
2CE7	2CE8	tim	108
2CE9	2CEA	dat	109
2CEB	2CEC	tim	110
2CED	2CEE	dat	111
2CEF	2CF0	tim	112
2CF1	2CF2	dat	113
2CF3	2CF4	tim	114
2CF5	2CF6	dat	115
2CF7	2CF8	tim	116
2CF9	2CFA	dat	117
2CFB	2CFC	tim	118
2CFD	2CFE	dat	119
2CFF	2D00	tim	120
2D01	2D02	dat	121
2D03	2D04	tim	122
2D05	2D06	dat	123
2D07	2D08	tim	124
2D09	2D0A	dat	125
2D0B	2D0C	tim	126
2D0D	2D0E	dat	127
2D0F	2D10	tim	128
2D11	2D12	dat	129
2D13	2D14	tim	130
2D15	2D16	dat	131
2D17	2D18	tim	132
2D19	2D1A	dat	133
2D1B	2D1C	tim	134
2D1D	2D1E	dat	135
2D1F	2D20	tim	136
2D21	2D22	dat	137
2D23	2D24	tim	138
2D25	2D26	dat	139
2D27	2D28	tim	140
2D29	2D2A	dat	141
2D2B	2D2C	tim	142
2D2D	2D2E	dat	143
2D2F	2D30	tim	144
2D31	2D32	dat	145
2D33	2D34	tim	146
2D35	2D36	dat	147
2D37	2D38	tim	148
2D39	2D3A	dat	149
2D3B	2D3C	tim	150
2D3D	2D3E	dat	151
2D3F	2D40	tim	152
2D41	2D42	dat	153
2D43	2D44	tim	154
2D45	2D46	dat	155
2D47	2D48	tim	156
2D49	2D4A	dat	157
2D4B	2D4C	tim	158
2D4D	2D4E	dat	159
2D4F	2D50	tim	160
2D51	2D52	dat	161
2D53	2D54	tim	162
2D55	2D56	dat	163
2D57	2D58	tim	164
2D59	2D5A	dat	165
2D5B	2D5C	tim	166
2D5D	2D5E	dat	167
2D5F	2D60	tim	168
2E0A	2E45	asc	88
2E47	2E82	asc	85
2E84	2EBF	asc	86
2EC1	2EFC	asc	87
