# Zugzwang Project: SWT parser
# http://www.zugzwang.org/projects/swtparser
# @author Gustaf Mossakowski, <gustaf@koenige.org>, 2005, 2012
# @author Falco Nogatz, <fnogatz@gmail.com>, 2012
#
# Definition file for player data
# Defintionsdatei für Spielerdaten
# length of data: 0x28F (= 655)
#
#[start]	[end]	[type]	[content]
0	1F	asc	2000
21	40	asc	2001
42	44	asc	2002
46	49	asc	2003
4B	4E	asc	2004
5A	5E	asc	2005
69	6B	asc	2006
6D	6F	asc	2007
80	89	asc	2008
97		asc	2009
99	9D	asc	2010
9F	A2	asc	2011
AD		int	2012
B8		asc	2013
BC		asc	2014
C0	C2	asc	2015
C9		int	2016
CB		int	2017
CD		int	2018
D1		int	2019
D9		bin	2020
DB		int	2021
DD		int	2022
DF		int	2023
E1		int	2024
E3		int	2025
E5		int	2026
E7		int	2027
110		bin	2028
111		int	2029 
124		int	2030
128		int	2031
12C		int	2032
144	14F	asc	2033
151	15C	asc	2034
15E	185	asc	2035
187	1AE	asc	2036
1B0	1D7	asc	2037
1D9	200	asc	2038
