# Zugzwang Project: SWT parser
# http://www.zugzwang.org/projects/swtparser
# @author Gustaf Mossakowski, <gustaf@koenige.org>, 2005, 2012, 2015
#
# Definition file for team data
# Definitionsdatei für Mannschaftsdaten
# length of data: 0x28F (= 655)
#
# [start]	[end]	[type]	[content]
0	1F	asc	1000
46	49	asc	1001
4B	4E	asc	1002
50	53	asc	1003
5A	5E	asc	1004
69	6B	asc	1005
6D	6F	asc	1006
80	89	asc	1007
99	9D	asc	1008
B8		asc	1009
BC		asc	1010
C0	C2	asc	1011
C9		int	1012
CB		int	1013
CD		int	1014
CF	D0	inb	1015
D5		int	1016
D7		int	1017
D9		bin	1018
DB		int	1019
DD		int	1020
DF		int	1021
E1		int	1022
E3		int	1023
E5		int	1024
E7		int	1025
E9		int	1026
EB		int	1027
ED	EE	inb	1028
F1		int	1029
F3		int	1030
FB	FC	bin	1031
FE		int	1032
100	101	bin	1033
102		int	1034
106	107	bin	1035
110		bin	1036
111		boo	1037
124		int	1038
128		int	1039
12C	12D	inb	1040
134		int	1041
138		int	1042
15E	185	asc	1043
187	1AE	asc	1044
1B0	1D7	asc	1045
1D9	200	asc	1046
